"","word","no_rows"
"472","achieve",3
"473","achieved",5
"474","achilles",2
"475","aching",1
"476","achingly",1
"477","achoon",1
"478","acht",1
"479","achten",3
"480","achter",4
"481","achtet",1
"482","achtete",1
"483","achtsamkeit",1
"484","ack",1
"485","acknowledge",10
"486","acknowledged",4
"487","acknowledgement",1
"488","acknowledging",2
"489","acknowledgment",1
"490","aclararlo",1
"491","acogedor",61
"492","acogedora",22
"493","acogedores",3
"494","acogida",1
"495","acojedor",1
"496","acojedores",1
"497","acolhedor",1
"498","acolhedora",6
"499","acolhedores",1
"500","acolhida",1
"501","acolhidos",1
"502","acomadated",1
"503","acomfortable",1
"504","acomidating",1
"505","acommadating",1
"506","acommendations",1
"507","acommodating",3
"508","acomoda",2
"509","acomodacoes",1
"510","acomodar",1
"511","acomodate",1
"512","acomodations",2
"513","acomplish",1
"514","aconchegante",18
"515","acondicionado",33
"516","acondicionador",2
"517","acondicionados",2
"518","aconditioned",1
"519","aconsejado",1
"520","aconsejamos",1
"521","aconsejarte",2
"522","acoomplished",1
"523","acordada",1
"524","acordado",1
"525","acordamos",1
"526","acorde",7
"527","acordingly",1
"528","acordo",2
"529","acorn",5
"530","acostumados",1
"531","acostumbrada",1
"532","acostumbrados",2
"533","acoustic",1
"534","acoustically",1
"535","acoustics",2
"536","acqua",5
"537","acquaint",1
"538","acquaintance",2
"539","acquaintances",1
"540","acquainted",16
"541","acquarium",2
"542","acquire",4
"543","acquired",2
"544","acquiring",2
"545","acquisition",1
"546","acre",1
"547","acres",3
"548","acrosss",1
"549","acrylic",2
"550","acs",23
"551","acsessed",2
"552","act",20
"553","acted",14
"554","acting",6
"555","action",192
"556","actions",4
"557","actitivties",1
"558","activa",1
"559","activate",1
"560","activated",3
"561","activates",1
"562","active",100
"563","actively",12
"564","actividad",1
"565","actividades",3
"566","activist",1
"567","activists",1
"568","activiteiten",1
"569","activites",3
"570","activities",424
"571","activity",97
"572","actor",1
"573","actresses",1
"574","acts",4
"575","actual",206
"576","actualy",2
"577","actuellement",3
"578","acuario",2
"579","acuerdo",3
"580","acurate",1
"581","acurated",1
"582","acutally",1
"583","acute",1
"584","acutely",1
"585","acwonderful",1
"586","acxesible",1
"587","ad",136
"588","ad's",1
"589","ada",27
"590","ada's",9
"591","adam",260
"592","adam's",70
"593","adamantly",2
"594","adams",232
"595","adapt",6
"596","adaptable",4
"597","adaptada",1
"598","adaptado",1
"599","adaptation",1
"600","adaptative",1
"601","adapted",9
"602","adapter",10
"603","adapters",1
"604","adapting",2
"605","adaptive",1
"606","adaptor",3
"607","adaptors",1
"608","adaquate",1
"609","adas",1
"610","adatta",1
"611","adattamento",1
"612","adattissimo",1
"613","adatto",2
"614","add",254
"615","addams",1
"616","added",672
"617","addict",3
"618","addicted",4
"619","addicting",2
"620","addiction",2
"621","addictive",1
"622","addicts",6
"623","adding",50
"624","addirittura",1
"625","additinally",1
"626","addition",447
"627","additional",323
"628","additionally",171
"629","additionnal",1
"630","additions",27
"631","addled",1
"632","address",224
"633","addressed",125
"634","addresses",17
"635","addressing",22
"636","adds",73
"637","addtional",1
"638","adecuada",4
"639","adecuadas",1
"640","adecuado",8
"641","adeguati",2
"642","adel",12
"643","adele",1
"644","adele's",1
"645","adem",5
"646","ademas",14
"647","adendo",1
"648","adentro",2
"649","adept",2
"650","adeptes",1
"651","adequaat",2
"652","adequada",1
"653","adequado",1
"654","adequate",245
"655","adequately",51
"656","adgang",1
"657","adhere",1
"658","adhered",1
"659","adhering",1
"660","adhesive",1
"661","adi",7
"662","adi's",1
"663","adicional",1
"664","adicionales",1
"665","adicionalmente",1
"666","adil",10
"667","adil's",6
"668","adirondack",1
"669","aditionally",1
"670","adjacency",1
"671","adjacent",146
"672","adjacente",1
"673","adjacentes",2
"674","adjectives",4
"675","adjoined",2
"676","adjoining",31
"677","adjoins",4
"678","adjust",72
"679","adjustable",25
"680","adjusted",35
"681","adjusting",30
"682","adjustment",10
"683","adjustments",19
"684","adler",1
"685","admentities",1
"686","admin",1
"687","administered",2
"688","administrador",4
"689","administradores",1
"690","administrative",1
"691","admirable",2
"692","admirably",3
"693","admiral",1
"694","admire",11
"695","admired",6
"696","admirer",1
"697","admiring",13
"698","admission",6
"699","admist",1
"700","admit",26
"701","admits",2
"702","admitted",5
"703","admittedly",13
"704","admitting",4
"705","adn",2
"706","ado",1
"707","adolescentes",2
"708","adolescents",3
"709","adoperato",1
"710","adopt",2
"711","adopted",1
"712","adorabile",1
"713","adorable",751
"714","adorables",11
"715","adorably",12
"716","adoramos",7
"717","adorato",1
"718","adore",7
"719","adored",27
"720","adorei",5
"721","adorer",2
"722","adorned",10
"723","adorning",1
"724","adornment",3
"725","adorre",1
"726","ados",8
"727","adres",1
"728","adress",7
"729","adresse",80
"730","adresses",22
"731","adrian",25
"732","adrian's",4
"733","adriana",6
"734","adriana's",1
"735","adrien",24
"736","adrien's",5
"737","adriens",1
"738","ads",2
"739","adult",116
"740","adultas",1
"741","adulte",3
"742","adultes",25
"743","adulti",4
"744","adultos",7
"745","adults",771
"746","adv",1
"747","advance",302
"748","advanced",10
"749","advantage",259
"750","advantages",14
"751","advent",1
"752","adventours",1
"753","adventure",115
"754","adventurer",1
"755","adventurers",4
"756","adventures",79
"757","adventuring",11
"758","adventurous",17
"759","adverised",1
"760","adverse",3
"761","adversement",1
"762","advert",9
"763","advertencia",1
"764","advertentie",1
"765","advertise",12
"766","advertised",1880
"767","advertisement",25
"768","advertises",8
"769","advertising",11
"770","advertized",6
"771","advertment",1
"772","advice",732
"773","adviced",2
"774","advices",89
"775","advieces",1
"776","advil",3
"777","advisable",2
"778","advise",99
"779","advised",74
"780","advisement",1
"781","advises",14
"782","advising",10
"783","advisor",3
"784","advisories",1
"785","advisory",1
"786","advocate",1
"787","advrtised",1
"788","adwance",1
"789","aeire",1
"790","aer",1
"791","aera",3
"792","aerate",1
"793","aerator",1
"794","aerial",1
"795","aerie",1
"796","aero",3
"797","aerobed",6
"798","aerobic",1
"799","aeroplane",1
"800","aeroport",2
"801","aeroporto",12
"802","aeropress",1
"803","aeropuerto",40
"804","aerospace",1
"805","aesthetic",36
"806","aesthetically",30
"807","aesthetics",10
"808","af",20
"809","afar",8
"810","afastado",1
"811","afc",1
"812","afectuosos",1
"813","afeitadora",1
"814","afer",1
"815","affabile",1
"816","affable",12
"817","affaccia",1
"818","affair",1
"819","affaire",2
"820","affaires",6
"821","affairs",4
"822","affascinante",1
"823","affecionado",1
"824","affect",50
"825","affected",27
"826","affecting",2
"827","affection",1
"828","affectionate",8
"829","affects",3
"830","affectueux",1
"831","affetto",1
"832","affettuosa",1
"833","affettuoso",2
"834","affidabile",1
"835","affiliate",1
"836","affiliated",1
"837","affiliates",1
"838","affirmer",1
"839","affirms",1
"840","affitta",1
"841","affittando",1
"842","affix",1
"843","affixed",1
"844","affleck",1
"845","affleck's",1
"846","afflict",1
"847","affluence",1
"848","affluent",4
"849","afforadable",1
"850","afford",27
"851","affordability",13
"852","affordable",826
"853","affordably",6
"854","afforded",18
"855","affords",8
"856","afforfable",1
"857","afforsable",1
"858","affortable",1
"859","affrontare",1
"860","afgain",1
"861","afgesloten",1
"862","afgesproken",1
"863","afghan",1
"864","afghani",1
"865","aficionados",1
"866","afield",24
"867","afin",13
"868","afitriona",1
"869","aflevere",1
"870","afordable",2
"871","aforementioned",12
"872","afortunados",1
"873","afraid",61
"874","africa",4
"875","african",13
"876","africans",1
"877","afro",1
"878","afroamericanos",1
"879","afroamericans",1
"880","afslappede",1
"881","afstand",1
"882","afsted",1
"883","aften",1
"884","afterall",2
"885","aftermath",1
"886","afternoon",212
"887","afternoon's",1
"888","afternoons",12
"889","afterward",11
"890","afuera",1
"891","afueras",4
"892","agachado",1
"893","agai",2
"894","againe",1
"895","againext",1
"896","againg",1
"897","againz",1
"898","agan",1
"899","agaon",1
"900","agathe",1
"901","age",106
"902","aged",44
"903","ageing",1
"904","agence",2
"905","agencies",1
"906","agency",25
"907","agenda",4
"908","agendamos",1
"909","agent",28
"910","agents",4
"911","ages",61
"912","agganis",3
"913","aggiornate",1
"914","aggiunto",3
"915","aggravating",3
"916","aggravation",1
"917","aggressive",10
"918","aggressively",1
"919","aghda's",2
"920","aghdas",21
"921","aghdas's",5
"922","agian",7
"923","agile",7
"924","agilidade",1
"925","agility",2
"926","agin",10
"927","aging",4
"928","agio",4
"929","agitation",1
"930","agitator",1
"931","agli",1
"932","agnes",1
"933","agni",1
"934","agnieszka",5
"935","agnieszka's",3
"936","ago",61
"937","agobiarte",1
"938","agonizing",1
"939","agosto",3
"940","agradable",107
"941","agradables",12
"942","agradado",1
"943","agradavel",2
"944","agrade",1
"945","agradece",3
"946","agradecemos",2
"947","agradecer",2
"948","agradecerle",1
"949","agradecida",2
"950","agradecido",2
"951","agradecidos",8
"952","agradecimiento",3
"953","agradecimientos",1
"954","agradecimos",2
"955","agrado",4
"956","agreable",15
"957","agreat",2
"958","agree",71
"959","agreeable",16
"960","agreed",106
"961","agreeing",2
"962","agreement",16
"963","agreements",2
"964","agrees",2
"965","agregado",1
"966","agregarle",1
"967","agreguen",1
"968","agression",1
"969","agua",19
"970","aguardando",1
"971","aguardar",1
"972","aguas",1
"973","aguerrie",1
"974","agusto",5
"975","ah",8
"976","aha",1
"977","ahahahaha",1
"978","ahe",1
"979","ahead",283
"980","aheads",1
"981","ahem",1
"982","ahh",1
"983","ahhahahaa",1
"984","ahhh",1
"985","ahhhhhh",1
"986","ahhhhhmaaazing",1
"987","ahhhhmazing",1
"988","ahi",10
"989","ahley",2
"990","ahmed",13
"991","ahmed's",2
"992","ahmid",1
"993","ahmid's",1
"994","ahogy",1
"995","ahold",46
"996","aholic",1
"997","ahora",4
"998","ahorrar",1
"999","ai",27
"1000","aibnb",6
"1001","aid",55
"1002","aida",55
"1003","aida's",12
"1004","aidalina",4
"1005","aidant",6
"1006","aidante",1
"1007","aidants",1
"1008","aidas",1
"1009","aide",12
"1010","aided",4
"1011","aiden",1
"1012","aider",11
"1013","aids",3
"1014","aiebnb",1
"1015","aiguillonnez",1
"1016","aihua",5
"1017","aihua's",1
"1018","ailie",1
"1019","ailing",2
"1020","aillant",1
"1021","ailleurs",10
"1022","ailments",2
"1023","aim",6
"1024","aimable",3
"1025","aimablement",1
"1026","aimables",2
"1027","aime",1
"1028","aimed",3
"1029","aiment",2
"1030","aimer",3
"1031","aimez",4
"1032","aiming",6
"1033","aims",1
"1034","aimsi",1
"1035","ain",1
"1036","aince",1
"1037","ainda",4
"1038","ainhuh",1
"1039","ainoa",1
"1040","ainsi",49
"1041","aiport",6
"1042","air",2750
"1043","airb",93
"1044","airb'n'b",1
"1045","airbandb",4
"1046","airbb",6
"1047","airbbnb",1
"1048","airbed",12
"1049","airbeds",1
"1050","airbn",5
"1051","airbn'b",1
"1052","airbnb",8153
"1053","airbnb'd",1
"1054","airbnb'er",4
"1055","airbnb'ers",5
"1056","airbnb'ing",1
"1057","airbnb'rs",1
"1058","airbnb's",125
"1059","airbnber",8
"1060","airbnbers",19
"1061","airbnbn",1
"1062","airbnbs",189
"1063","airbnbtells",1
"1064","airbnd",6
"1065","airbnv",1
"1066","airbus",1
"1067","airco",20
"1068","airco's",2
"1069","aircon",63
"1070","aircond",1
"1071","aircondition",5
"1072","airconditioned",2
"1073","airconditioner",3
"1074","airconditioning",19
"1075","aircondotioning",1
"1076","aircons",1
"1077","aircraft",4
"1078","aircrafts",1
"1079","airdryer",1
"1080","aire",38
"1081","aired",1
"1082","aires",7
"1083","airflow",6
"1084","airless",1
"1085","airline",27
"1086","airlines",4
"1087","airmatress",1
"1088","airmattress",1
"1089","airn",1
"1090","airnb",6
"1091","airnb's",2
"1092","airnbn",1
"1093","airnbnb",6
"1094","airnbner",1
"1095","airnnb",1
"1096","airplane",24
"1097","airplanes",24
"1098","airplay",1
"1099","airplugs",1
"1100","airpods",1
"1101","airport",5489
"1102","airport's",2
"1103","airportnoise",1
"1104","airports",3
"1105","airpory",1
"1106","airpot",5
"1107","airs",1
"1108","airspace",1
"1109","airtight",1
"1110","airways",1
"1111","airy",258
"1112","aise",6
"1113","aises",1
"1114","aislado",2
"1115","aislamiento",1
"1116","aisle",1
"1117","aisling",1
"1118","ait",12
"1119","aitbnb",1
"1120","aiutarci",1
"1121","aiutare",1
"1122","aiutati",2
"1123","aiutato",1
"1124","aiuto",3
"1125","aivan",3
"1126","aj",1
"1127","ajar",6
"1128","ajax",1
"1129","ajoute",1
"1130","ajouter",2
"1131","ajuda",5
"1132","ajudando",1
"1133","ajudar",10
"1134","ajudaram",2
"1135","ajudou",4
"1136","ajundando",1
"1137","ajustaba",2
"1138","ajustada",1
"1139","ajustes",1
"1140","ak",12
"1141","aka",23
"1142","akbrownstone",1
"1143","akbrownstones",1
"1144","aki",1
"1145","akiki",47
"1146","akiki's",8
"1147","akikix",1
"1148","akin",5
"1149","akkurat",1
"1150","akshay",4
"1151","aktiver",1
"1152","aktiviteter",2
"1153","aktuell",1
"1154","aktuellen",1
"1155","akward",3
"1156","al",405
"1157","ala",1
"1158","alabama",2
"1159","alabaster",1
"1160","alacrity",1
"1161","alain",2
"1162","alam",1
"1163","alameda",1
"1164","alan",93
"1165","alan's",7
"1166","alana",14
"1167","alana's",3
"1168","alarm",114
"1169","alarma",1
"1170","alarme",1
"1171","alarmed",2
"1172","alarming",5
"1173","alarmingly",1
"1174","alarms",21
"1175","alas",6
"1176","alaska",2
"1177","alaskans",1
"1178","alatt",1
"1179","alba",1
"1180","albano",1
"1181","albany",2
"1182","albeit",44
"1183","alberca",1
"1184","albers",1
"1185","albert",10
"1186","albert's",7
"1187","alberts",1
"1188","albo",1
"1189","album",1
"1190","alcance",2
"1191","alcobas",1
"1192","alcohol",23
"1193","alcoholic",2
"1194","alcolici",1
"1195","alcool",1
"1196","alcott's",1
"1197","alcove",15
"1198","alcoves",2
"1199","alcun",4
"1200","alcuna",1
"1201","alcune",4
"1202","alcuni",6
"1203","ale",29
"1204","aleady",1
"1205","alecia",2
"1206","alegando",1
"1207","alegre",2
"1208","alegres",1
"1209","alejada",12
"1210","alejadas",1
"1211","alejado",12
"1212","alen",3
"1213","alentours",13
"1214","alergia",1
"1215","alergy",1
"1216","alert",15
"1217","alerted",17
"1218","alertness",1
"1219","alerts",2
"1220","alessandra",2
"1221","alessandro",9
"1222","alessandro's",2
"1223","alewife",6
"1224","alex",585
"1225","alex's",157
"1226","alexa",38
"1227","alexa's",6
"1228","alexandar",1
"1229","alexander",62
"1230","alexander's",12
"1231","alexanders",2
"1232","alexandes",1
"1233","alexandra",5
"1234","alexandre",1
"1235","alexas",1
"1236","alexcis",10
"1237","alexcis's",1
"1238","alexes",33
"1239","alexes's",4
"1240","alexia",86
"1241","alexia's",17
"1242","alexis",3
"1243","alexs",1
"1244","alf",1
"1245","alfombras",1
"1246","alfonse",1
"1247","alfred",35
"1248","alfred's",4
"1249","alfredo",37
"1250","alfredo's",11
"1251","alfresco",1
"1252","algo",59
"1253","alguien",7
"1254","algum",2
"1255","alguma",3
"1256","algumas",3
"1257","alguna",13
"1258","algunas",11
"1259","alguno",1
"1260","algunos",17
"1261","alguns",9
"1262","ali",12
"1263","ali's",2
"1264","aliado",1
"1265","alica",1
"1266","alice",137
"1267","alice'a",1
"1268","alice's",32
"1269","alicia",733
"1270","alicia's",131
"1271","alicias",1
"1272","aliciia",1
"1273","alien",1
"1274","align",4
"1275","aligned",8
"1276","alignment",1
"1277","alike",33
"1278","alimentaire",1
"1279","alimentaires",1
"1280","alimentari",2
"1281","alimentation",1
"1282","alimentos",4
"1283","aliments",2
"1284","alisha",2
"1285","alishya",52
"1286","alishya's",14
"1287","alishyas",1
"1288","alishys's",1
"1289","alison",3
"1290","alittle",5
"1291","alive",15
"1292","alkove",1
"1293","all'aeroporto",2
"1294","all'altezza",1
"1295","all'ambiente",1
"1296","all'appartamento",3
"1297","all'arrivo",1
"1298","all'atto",1
"1299","all'ingresso",2
"1300","all'interno",1
"1301","all'mgh",1
"1302","all'ospite",1
"1303","all'ultimo",2
"1304","alla",63
"1305","allaient",1
"1306","allait",6
"1307","allan",9
"1308","allant",1
"1309","alle",111
"1310","alleen",4
"1311","allein",3
"1312","alleine",7
"1313","allem",58
"1314","allemaal",3
"1315","allen",27
"1316","aller",63
"1317","allerbest",1
"1318","allerdings",28
"1319","allergic",32
"1320","allergici",1
"1321","allergies",54
"1322","allergiker",1
"1323","allergique",1
"1324","allergiques",1
"1325","allergy",28
"1326","allerlei",10
"1327","alles",383
"1328","allesamt",1
"1329","alleviate",4
"1330","alleviated",6
"1331","alleviates",1
"1332","alley",188
"1333","alley's",1
"1334","alleys",5
"1335","alleyway",27
"1336","allez",8
"1337","allgemeinen",1
"1338","alli",7
"1339","allie",53
"1340","allie's",16
"1341","allieve",1
"1342","alligator",1
"1343","alligevel",1
"1344","allison",29
"1345","allison's",17
"1346","allisons",1
"1347","alliston",1
"1348","alliteration",1
"1349","allmost",1
"1350","allnight",1
"1351","allo",1
"1352","allocated",5
"1353","alloggiare",2
"1354","alloggiati",1
"1355","alloggio",9
"1356","allons",4
"1357","allotjament",2
"1358","allotments",1
"1359","allotted",1
"1360","allover",3
"1361","allowances",1
"1362","allowas",1
"1363","allowed",967
"1364","allowing",293
"1365","allowsd",1
"1366","alls",2
"1367","allston",284
"1368","allston's",2
"1369","allstone",1
"1370","allt",12
"1371","allthough",4
"1372","alltid",2
"1373","alltoghether",1
"1374","alltough",1
"1375","allumer",1
"1376","allunyat",1
"1377","allure",1
"1378","alluring",1
"1379","allways",7
"1380","ally",11
"1381","allyway",1
"1382","alma",1
"1383","almak",1
"1384","almeno",2
"1385","almighty",1
"1386","almohadas",4
"1387","almond",14
"1388","almonds",2
"1389","almorzar",1
"1390","almosy",1
"1391","almst",1
"1392","almuhada",1
"1393","alo",1
"1394","aloft",2
"1395","aloha",5
"1396","aloja",2
"1397","alojado",3
"1398","alojamiento",97
"1399","alojamientos",2
"1400","alojamos",3
"1401","alojar",5
"1402","alojaremos",1
"1403","alojarme",8
"1404","alojarnos",4
"1405","alojarse",13
"1406","alojas",1
"1407","alok",2
"1408","alomst",1
"1409","alon",1
"1410","alongside",10
"1411","aloof",1
"1412","alors",19
"1413","alot",61
"1414","alotted",1
"1415","aloud",3
"1416","alpha",1
"1417","alphabet",1
"1418","alphonse",8
"1419","alquiladas",1
"1420","alquilan",2
"1421","alquilar",2
"1422","alquilare",1
"1423","alquilarlo",2
"1424","alquile",1
"1425","alquilen",1
"1426","alquiler",3
"1427","alquilo",1
"1428","alrededor",11
"1429","alrededores",8
"1430","alright",54
"1431","alrrededor",1
