"","id","sentiment","description","host_is_superhost","host_total_listings_count","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","price","cleaning_fee","has_availability","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location"
"11",27546,1.71234939759036,"Very convenient, safe place. T-red line 4 min to walk, everything you need is around the corner (shopping, restaurants, pub, cafe' Room H: It is on back of the house, has separate entrance,  big, sunny room a few steps down, on the lower level of the townhouse, shared bathroom. There is a portable AC for hot summer days. The entrance is from the patio on the very back of the house. Can accommodate 3-4 people. There is a queen size bed and open sleep Ikea futon.  Wireless internet access, cable TV, fridge, French press for coffee, electric teapot, microwave. Towels, shampoo, conditioner provided Parking:  on street, free, unlimited (privilege for Boston).  Safety: It is safe to walk from T station to the house even late nights. The street is bright at nights and there are businesses open late night, eating places  open late The library, shopping and eating places just around the corner (Blarney Stone is a nice place to eat on the corner). Good Vietnamese restaurant to the right from the","f",11,"Dorchester",42.29834949,-71.05910373,"House","Private room",4,1,1,2,55,25,"t",234,88,9,9,9,9,8
"12",27611,2.24590163934426,"Our comfortable, sophisticated apartment is perfect for one or two people who want a quiet, spacious, clean spot with a French feel for days or a month.Park on the street or take public transportation to visit the city and the region! Lovely gardens. JAMAICA PLAIN, PONDSIDE. Sophisticated studio garden apartment. Completely furnished. Luxurious and decorator-designed. Large, fully-equipped kitchen, separate dining room, great bathroom, queen-sized bed.  In private house with separate entrance. Minutes to Longwood Medical area, the Museum of Fine Arts and the Gardner Museum, the Arboretum and Zoo, downtown Boston, and the beach! 1 block to # 39 bus. 10 minutes to T (Metro) and 15-minute ride to downtown Boston.  Contact homeowner at (email hidden). The Jamaica Pond has sailing, rowing and fishing - 5 minute walk.  There are lots of bike paths and the city has rentals around town.  This is a foodie part of Boston, so lots of restaurants and coffee spots, many with great music.  The Harva","f",1,"Jamaica Plain",42.31556512,-71.11482701,"Apartment","Entire home/apt",2,1,1,1,185,60,"t",15,91,9,10,10,10,10
"13",29765,2.41703056768559,"Romantic, comfortable, and elegant! Enjoy the hospitality and warmth of a home with luxury amenities for your relaxation and wellness: 3-room luxury suite with authentic Moroccan furnishings, in the beautifully-renovated & historic Thomas Osgood House in Boston close to the Freedom Trail, downtown, Boston Garden. King feather bed with Moroccan canopy tent. Elegant living room with fireplace. Marble bathroom with rain shower head. Full kitchen w. oven, microwave, dishwasher & fridge. A/C, TVs, wireless, fine linens provided. Cathedral ceilings, hand-hewn beams, skylights throughout--fresh flowers, very romantic space! Close to bus, metro, and great restaurants, pubs, wonderful groceries (Whole Foods). Safe, friendly neighborhood, Boston's oldest. Peaceful and historic courtyard garden with antique Boston gas lamp, fountain and pond (open in warmer weather April 1-November 30).   Your kitchen is fully stocked with delicious breakfast foods, to be enjoyed in the privacy of your suite (cof","f",3,"Charlestown",42.37833822,-71.06662682,"Apartment","Entire home/apt",2,1,1,1,221,25,"t",92,99,10,10,10,10,10
"14",31796,1.73620205799813,"I'm originally from Armenia, live in Victorian house for many years. I love hosting people from around the world and to use Airbnb when I travel. It is very convenient location for people with or without car. You are welcome Big, beautiful Victorian house on three floors, there are three two more rooms on airbnb. You will meet other guests in the house.  There are two houses attached to each other on the same ground.  Two houses are connected with open balcony. On the back there is a patio with a picnic table for common use  Interior: beautiful hardwood floors, warm and welcoming colors . Equipped kitchen.  Room A: has queen size bed, comfy, big room, open double sleep futon. Accommodates 4. Good place for young students, affordable to travel Dining room, kitchen, open balcony on the front and the back of the house, patio. Light cooking is ok, coffee, tea with nice cookie, fruits in the kitchen.  No cleaning fee, please change the bed sheets and take the trash out before you leave (I r","f",11,"Dorchester",42.29977341,-71.06047581,"House","Private room",4,2.5,1,2,43,25,"t",401,88,9,9,9,9,9
"15",36885,1.89747634069401,"When you need short-term housing for your next visit to Boston, try our COZY CORNER OF BOSTON. Located a short walk from Symphony Hall, the New England Conservatory of Music, the Berklee College of Music, and the Museum of Fine Arts, this private studio apartment with its roomy turn-of-the-century architecture will offer you a tranquil retreat in the heart of Boston. For amenities, you’ll enjoy a separate, fully-equipped eat-in kitchen, cable TV, high-speed internet, a local phone line, air conditioner, overhead fan, and available adjacent parking. A few steps to local transportation, Fenway Park, the Prudential Center Mall, and the exclusive shops of Newbury Street, this COZY CORNER OF BOSTON is an ideal spot for lovers of the arts as well as the art of shopping.","t",1,"Fenway",42.34633476,-71.08832312,"Apartment","Entire home/apt",2,1,1,1,165,100,"t",148,97,10,10,10,10,10
"16",44205,2.08585858585859,"Romantic, comfortable, and elegant! Enjoy the hospitality and warmth of a home with luxury amenities for your relaxation and wellness: 3-room luxury suite with authentic European and Asian furnishings and fine art, in the beautifully-renovated & historic Thomas Osgood House close to Freedom Trail, downtown, and TD Garden in Boston's oldest neighborhood. Cathedral ceilings, hand-hewn beams, skylights throughout--fresh flowers, luxurious & romantic space! Large bedroom with king sleigh feather bed and ultimately soft modal cotton linens.  Elegant and cozy living room with leather sofas, oriental carpet, books, and French doors opening onto balcony with bistro table; overlooking historic courtyard garden with fountain and gas lamp. Grand European-style bath with oversized tub set below sklylight view to stars! Artisan soaps hand-crafted and organic. Microwave, fridge, toaster, coffee-maker; A/C, 2 satellite TVs, DVD, wireless internet, daily  housekeeping service. Your suite is fully stoc","f",3,"Charlestown",42.37655111,-71.06676906,"Apartment","Entire home/apt",2,1,1,1,184,25,"t",79,99,10,10,10,10,10
"17",45987,2.02386117136659,"Lovely, private garden studio apartment in historic Boston neighborhood. The gorgeous studio has a private entrance through a lovely garden. It is a new renovation with hardwood floors and plenty of natural light. Cool in summer; toasty in winter. The sound of bubbling water in the garden's fish pond contributes to the tranquility of the space.  LATE ARRIVAL AFTER 10:00 p.m. WILL BE 150 CHARGES CASH BEFORE YOU RECEIVE THE KEYS.     PLEASE AND BEFORE YOU MAKE RESERVATION, MAKE SURE YOU KNOW YOUR TIME OF ARRIVAL.  I WILL NOT ACCEPT YOUR REVERBERATION WITHOUT YOUR TIME OF ARRIVAL.  THANK YOU.  Please, make sure you are honest with your reservation about the number of people staying.  I live at the same property. Please, make sure you do not smoke or look for another place. YES, MY HOUSE IS LESS THAN FIVE MINUTES TO BUS STOP AND SEVEN MINUTES TO SUBWAY (UNDERGROUND) Yes, there is WiFi and 50 charge. Amenities: Fully-equipped kitchen (including gas stove) with 6' x 5' center counter ideal","f",1,"Charlestown",42.37404333,-71.06117667,"Apartment","Entire home/apt",3,1,1,1,100,100,"t",106,92,9,9,9,9,10
"18",47521,1.83563218390805,"Location: The house is big, and several rooms on airbnb, it's like a little bnb community, you will have chance to meet other guests to cheat chat. Convenient, to every direction and downtown; T-red line 4 min walk which takes you to South Station, Airport, downtown, Harvard sq, MIT, MGH, Porter sq, Davis sq. Easy access to the Ocean, Castle Island, Cape Cod, I-93 Free ride from the airport, yes, FREE, Get my directions and follow it please Victorian house on three floors; The house has several rooms in Aribnb. Room C is an attic room big, simple and sunny attic room. Easy for the young students/friends to share. Has one double bed, sleep sofa and a single bed. Many amenities around the corner: Park, shopping plaza, grocery the last one, restaurants, CVS, hospital, free unlimited parking on street. Dinning room, kitchen, balcony, patio.  Parking ON STREET only, Check the street signs please, Big tickets. No parking next to Hydrants, no Parking in any parking lots in the area email, tex","f",11,"Dorchester",42.29771972,-71.05924046,"House","Private room",4,1.5,1,3,50,25,"t",317,89,9,9,9,9,8
"19",50032,1.63934426229508,"This home will exceed all your expectations!  Renovations just completed with amazing architectural touches and an eye for design like no other in Boston's Jamaica Plain neighborhood.  Across the St from one of Boston's best restaurants 10 Tables.  Minutes walk to shops, funky cafes pond with jogging trail.  Near hospital district and T. A kitchen straight out of Metropolitan Home Magazine.  Distressed black cabinets, Statuario marble counter and Bosch appliances.  Kitchen is open to huge dining room and living room with great modern fireplace, crown molding, modern wainscoting and tons of light from 9 huge  windows.  Bathroom out of the pages of Domino Magazine with marble counter, vessel sink, subway tile and brushed aluminum Kohler fixtures. 2 bedrooms on 2nd floor look out onto a beautifully manicured gardens and trees. The bottom level of this triplex home features a huge bedroom and bath.","f",4,"Jamaica Plain",42.31591116,-71.11275691,"Apartment","Entire home/apt",12,2,4,5,700,150,"t",18,96,9,9,9,9,10
"20",60029,2.04745166959578,"Small, sunny, private room in quiet but urban neighborhood, 3 miles from the city center, 1.5 miles from Longwood hospitals and Fenway colleges. Please do not book without first reading through the entire post and sending me a query! Small, private room in a bright funky apartment in a 110 year old house in the  geographical heart of Boston, three miles from the city center.   Room is small and cozy with a full size bed - 54 x 75 inches (137 x 190 cm).  Closet is very small. Room has southern exposure so there is lots of sun all day. Bathroom is shared as is the kitchen and living room. Though currently listed for just one person, two people have been quite comfortable staying in this room.  If there are two of you, write me. Je peux parler un peu de francais. We'll share the bathroom.  While you are welcome to use the kitchen to make a cup of tea or to eat, it is not available for cooking during short-term stays. I will meet you when you arrive (where and how to be arranged once you k","t",5,"Roxbury",42.32584185,-71.0892685,"House","Private room",1,1,1,1,78,0,"t",128,95,9,9,10,10,8
"21",60356,1.9,"6th floor overlooking the Boston Common and the State House! Sunny, spacious 1 bed in a concierge building with elevator, common roofdeck, laundry on each floor and conveniently located close to everything. Bright and sunny 1 bed facing the Boston Common and the State House.  Open kitchen/livingroom layout, large bedroom with queens size bed, good closet space, parquet wood floors, sleeper couch and high ceiling.  The rent includes utilities, basic cable, wifi, furniture, linens, kitchen and house wares. The elevator building features secure entry, doorman, laundry/garbage room on each floor, bike room and common roofdeck.  This is a fabulous location close to everything!  Minutes walk to the Red Park St Train Stop, Orange Downtown Crossing Train Stop and Green Government Center Train Stop.  Shopping, restaurants, banks and grocery store all within a few minutes walk. The owner has some belongings in the unit which are clearly marked. Please leave these things in place. Minimal, as nee","f",13,"Downtown",42.35711748,-71.06179966,"Apartment","Entire home/apt",2,1,1,1,175,250,"t",14,96,10,9,10,10,10
"22",67774,2.13815789473684,"No Marathon rentals yet. Sunny corner 1 bed facing the State House golden dome! Great location, close to everything, concierge building, elevators, common roofdeck, queen size bed, flat screen TV. Note: We are not yet booking for the Marathon. Please check back closer to the end of the year for availability.  We are not yet booking for the Marathon! Bright, one bed facing the Golden Dome of the State House! Concierge building located in Beacon Hill by the Boston  Common and convenient to shopping, transportation, restaurants and banking.  Easy walk to the Financial district and the Theater District.  The unit has contemporary furnishings, flat screen tv, DVD player, high speed internet, sleeper couch in livingroom, parquet wood floors, galley kitchen with fridge, electric cooktop, convection microwave and a queen sized bed.  The rent includes all utilities, linens, kitchen and house wares.  NOTE: the dark furniture has been replaced with white furniture.  Same layout and style, just br","f",13,"Beacon Hill",42.35866925,-71.06331527,"Condominium","Entire home/apt",3,1,1,1,110,250,"t",41,96,10,9,10,10,10
"23",69369,2.08872901678657,"Bright private room in quirky bohemian apartment in 110-year-old house. Only 3 very walkable miles from the city center and about a mile and a half from Longwood Medical area.  Please do not book without first reading though the entire post and sending me a note! Private, simple room in an unpretentious bright funky apartment in a 110 year old house in the geographical heart of Boston which is 3 miles from the city center.  The room is in the second floor apartment of a two-apartment house. It has a queen size bed and a small closet.  Room has southern exposure so there is lots of sun all day. Bathroom is shared.  Convenient to the Pierre Lallement/Southwest Corridor bike path; the house is a 10 minute walk to the Orange Line on the subway. The city center, airport, and major hospitals are all easily accessible by public transport and/or foot or bicycle.  The Museum of Fine Arts, Isabella Stewart Gardner museum, Northeastern U, MASSArt,  and other Fenway colleges as well as Longwood me","t",5,"Roxbury",42.32614221,-71.08840448,"House","Private room",2,1,1,1,80,0,"t",103,95,10,9,10,10,8
"24",77691,1.5653798256538,"Very spacious private bedroom on the second floor, comfy king size bed and for the third person single mattress on the floor can be provided, full shared bathroom on the second floor, half bath on the first floor. Big, beautiful Victorian house on three floors, there are other Airbnb guests in the house.  Always nice people,   There are two houses attached on the same ground and which are connected with common open balcony on the back. There is a patio with a picnic table for common use   Interior: beautiful hardwood floors, warm and welcoming colores . Equipped kitchen for light cooking, coffee, tea,  any time. Bed sheets, towels, shampoo, toothpaste are provided Everything you need is within 3-5 min walk, T-red line, banks, restaurants, shops, pub. Free, unlimited parking on street (check the street signs please). Free ride from the airport to to the house by Silver line and in South station change to T-red line outbound to Fields corner stop (Ashmont train). 4 min walk to the house.","f",11,"Dorchester",42.29770901,-71.05979096,"House","Private room",3,1.5,1,1,65,25,"t",274,88,9,9,9,9,8
"25",91588,2.07638888888889,"The building is located on Patton's Cove by Habor Point. It's minutes to get to Downtown Boston and the Commons. This area is one of Boston's best-kept secrets. Very quiet, safe area and home to many young Single Professionals, Families, Gays. Close to several restaurants. Just 7-minute walk to and from the subway, Redline T Station (Savin Hill T Stop.) Large Private bedroom with lots of windows and very bright and sunny. Free off Street parking lot in the rear of the building. One bedroom available in my private 3 bedroom condo with an off-street deeded parking space. The unit is located on the top floor of the building. The bedroom is about 16 x 20 with an Armoire with drawers to store your things and a tall Queen bed. There is wi-fi internet. Hope to hear from you and have a wonderful trip to Boston. Living room, Kitchen and Bath, and Deck when in season. I'm very social and work from home and live in this condo. I love to socialize with guests if that is something you like. Otherwi","t",3,"Dorchester",42.31357973,-71.04696815,"Condominium","Private room",2,1,1,1,68,25,"t",118,99,10,10,10,10,10
"26",115936,0.679245283018868,"Huge 4 bedroom retreat conveniently located near shops, restaurants and cafes on a beautiful lot in Boston's Jamaica Plain neighborhood. Across the street from 10 Tables Restaurant (consistently voted 1 of Boston's best), a minute walk to one of Boston's treasured whole foods markets/cafe. Just outside, you will find a bus that goes directly to downtown Boston & Copley Square (right next to Newbury Street). The nearest subway stop is a 5 minute walk. Inside, you will delight in the spacious, sunny dining and living rooms, complete with antique moldings, quarter-sawn hardwood floors and high ceilings. The bright & spacious kitchen features stainless gas cooking and fresh white cabinetry. A deck off the kitchen is the perfect place to unwind after a long day in town. One bedroom on main floor has a private deck. Three additional bedrooms are upstairs, with beautiful views of the treetops.   ***PLEASE ask about a discount for stays over 4 nights****","f",4,"Jamaica Plain",42.31557614,-71.11305745,"Apartment","Entire home/apt",12,2,4,5,550,150,"t",13,80,8,9,9,8,9
"27",118905,1.95505617977528,"#202 Lotus The Lotus apartment has all new hardwood red oak floors. All marble and granite bathroom; ceramic tile walls Kohler whirlpool Jacuzzi tub. All designer matching polished brass fixtures High 9 ft ceilings. All new plaster, and recessed lighting in every room — all on dimmer switches for mood settings — over 30 in all! The kitchen has high 42-inch red granite counter tops and deep double sink w/disposal and all new top-of-the-line stainless steel appliances, including high speed convection/heat lamp/microwave oven, stainless steal dishwasher, large SS GE profile double door refrigerator with filtered water ice maker. Free high speed wireless broadband, free basic cable and a flat screen TV. 2 bedrooms, a large living room and kitchen, closets, custom made kitchen cabinets. Exposed brick chimneys, nan electronic fireplace. Artistic stain glass window boxes, beveled sliding glass door, large windows. Security.. color front door video monitor to anonymously view visitors from the","f",2,"East Boston",42.37932676,-71.03376094,"Apartment","Entire home/apt",2,1,2,2,325,150,"t",23,94,10,10,10,10,9
"28",143842,2.07142857142857,"Awesome place to stay in Boston! Close to the T and Buses to get you anywhere you need to go. Right down the street from BC and a quick trip to Harvard Sq, Kenmore, and Downtown. Furnished with comfortable queen bed, great kitchen, and huge TV. 1 bedroom available in one of Boston's best neighborhoods- Brighton.  Its right in the heart of Brighton Center only 1/2 a mile from Boston College. 1.5 miles from Boston University and 2 miles from Harvard.  Its a 5 minute walk to the efficient and clean buses that will take you to Kenmore Sq/Fenway, BU and directly to downtown Boston on the express bus.   Its also only a 7 minute walk to the T Green line B and 15 minute walk to the T Green Line C and D. Its a prime location for anyone coming into the city to visit area colleges, universities, hospitals or to explore Boston for a weekend adventure.   The entire apartment is available for weekend rentals.  On week days, the blue bedroom is available as a private room rental.  Please note the pri","f",4,"Brighton",42.34466194,-71.15876764,"House","Private room",2,1,1,1,180,40,"t",20,86,9,8,10,10,9
"29",160572,2.66666666666667,"Perfect for Families or Boston Convention and Exhibition Center Attendees! A rare single family home in the city! Your space has water views from the sunroom/deck and a back yard. 3 blocks to the beach. It's huge - 5 bedrooms, 2 living rooms in 2500sq ft and can sleep up to 9 people. Attention Families!  Your perfect single family home away from home. No condos above or below you making noise. Rare quiet family street in the city. Fenced in back yard for the kids to play. Tub for baths. 3 Blocks to a beautiful family friendly beach (beach chairs, towels, toys available) Available for your use: child gates, 3 high chairs, 2 cribs, 2 pack and plays, strollers and plenty of toys for most ages.  Attention Boston Convention and Exhibition Center Attendees! Why stay in a noisy, cramped, expensive hotel when you can stay in a beautiful home?! Quiet home on a quiet street that is walking distance from 10+ restaurants and bars. Perfect space for 3, 4 or 5 single people attending the BCEC. 5 bed","f",1,"South Boston",42.33324331,-71.04199974,"House","Entire home/apt",9,3.5,5,5,495,100,"t",8,93,10,10,10,10,10
"30",163941,1.94556765163297,"**Excellent Sunny** Fully equipped Private Duplex Apartment!   Walking distance to Museums, Northeastern U and Hospitals.  1.5 miles to the center of the attractions.  1-2 miles to Fenway Park.  Perfect Boston Home Base!  Accommodates up to 6 guests! Welcome to the Fort Hill Inn in Boston MA!  Super value on a very nice, comfortable, tastefully decorated, clean, private 2 bedroom Duplex apartment.   *Monthly Special!  All remaining nights this month 125, includes  2 guests. (Fees for cleaning and airbnb site fees  are additional and not included)  Ask for the ""monthly special!!""   Excellent Boston location,  5 minute walk to the Orange Line train, 4 minute ride to the center of all Boston attractions.    3 short stops (1.5 miles) to Copley Plaza/Back Bay/South End, Downtown.  Walk to Museums from here.   We are in the geographical center of Boston. Located in the quiet Boston residential neighborhood of Fort Hill, on a quiet private way, we offer the comfort of an Inn-like setting com","f",6,"Roxbury",42.32964654,-71.09502742,"Condominium","Entire home/apt",6,1,2,3,225,75,"t",199,93,10,10,10,10,9
"31",169430,1.89820359281437,"Beautiful, sunny two-floor apartment in a Victorian two-flat, with four bedrooms, period details, and cozy furnishings. On a tree-lined, dead end street in an historic urban neighborhood, with huge public park across the street. Beautiful, sunny two-floor apartment in a Victorian two-flat, with four bedrooms, period details, and cozy furnishings. On a brick-sidewalked street in an historic urban neighborhood. 12 minute walk to Orange line or Silver line T, 30 minutes door-to-door to many downtown locations. Free off-street as well as street parking, huge public pool across the street. Wifi, Roku, Apple TV,  Netflix, Hulu, Wii, free laundry, and a super well equipped kitchen if you like to cook. This house is ideal for large family groups, it is spacious and comfortable and well-equipped. There are stairs to the unit as well as within the unit, so it is not ideal for those with mobility issues or newly mobile babies/toddlers. Also please note that this is an urban environment... althoug","t",1,"Roxbury",42.32158165,-71.09047218,"Apartment","Entire home/apt",10,2,4,6,200,80,"t",130,91,9,9,10,10,8
